title,category,domain,description,more_info,recommended_action,link,apis
Connect Instance Exported Reports Encrypted,Connect,Content Delivery,Ensure that Amazon Connect instances have encryption enabled for exported reports being saved on S3.,You can configure Amazon Connect instance to save exported reports on S3. When you save ',Modify Connect instance data storage configuration and enable encryption for exported reports,https://docs.aws.amazon.com/connect/latest/adminguide/encryption-at-rest.html,"'Connect:listInstances', 'Connect:listInstanceExportedReportStorageConfigs', 'KMS:listKeys', 'KMS:describeKey'"
Connect Customer Profiles Domain Encrypted,Connect,"Customer profiles domain is a container for all data, such as customer profiles, object types, profile keys, and encryption keys. To encrypt this data, use a KMS key with desired encrypted level to meet regulatory compliance requirements within your organization.",Ensure that AWS Connect Customer Profiles domains are using desired encryption level.,"Customer profiles domain is a container for all data, such as customer profiles, object types, profile keys, and encryption keys. To encrypt this data, use a KMS key with desired encrypted level to meet regulatory compliance requirements within your organization.",Enabled data encryption feature for Connect Customer Profiles,https://docs.aws.amazon.com/connect/latest/adminguide/enable-customer-profiles.html,"'CustomerProfiles:listDomains', 'CustomerProfiles:getDomain', 'KMS:describeKey', 'KMS:listKeys', 'STS:getCallerIdentity'"
Connect Instance Call Recording Encrypted,Connect,Content Delivery,Ensure that Amazon Connect instances have encryption enabled for call recordgins being saved on S3.,You can configure Amazon Connect instance to save recordings for incoming call to be saved on S3. When you save ',Modify Connect instance data storage configuration and enable encryption for call recordings,https://docs.aws.amazon.com/connect/latest/adminguide/encryption-at-rest.html,"'Connect:listInstances', 'Connect:listInstanceCallRecordingStorageConfigs', 'KMS:listKeys', 'KMS:describeKey'"
Connect Instance Attachments Encrypted,Connect,Content Delivery,Ensure that Amazon Connect instances have encryption enabled for attachments being saved on S3.,You can configure Amazon Connect instance to save attachments on S3. When you save ',Modify Connect instance data storage configuration and enable encryption for  attachments,https://docs.aws.amazon.com/connect/latest/adminguide/set-up-recordings.html,"'Connect:listInstances', 'Connect:instanceAttachmentStorageConfigs', 'KMS:listKeys', 'KMS:describeKey'"
Connect Voice ID Domain Encrypted,Connect,Ensure that Amazon Voice ID domains have encryption enabled.,Ensure that Voice domains created under Amazon Connect instances are using desired KMS encryption level.,"All user data stored in Amazon Connect Voice ID is encrypted at rest using encryption keys stored in AWS Key Management Service. Additionally, you can provide customer managed KMS keys in order to gain more control over encryption/decryption processes.",Ensure that Amazon Voice ID domains have encryption enabled.,https://docs.aws.amazon.com/connect/latest/adminguide/encryption-at-rest.html,"'VoiceID:listDomains', 'KMS:listKeys', 'KMS:describeKey'"
ElastiCache Reserved Cache Node Lease Expiration,ElastiCache,Databases,Ensure that your AWS ElastiCache Reserved Cache Nodes are renewed before expiration in order to get a significant discount.,"Reserved Cache Nodes can optimize your Amazon ElastiCache costs based on your expected usage. Since RCNs are not renewed automatically, purchasing another reserved ElastiCache nodes before expiration will guarantee their billing at a discounted hourly rate.",Enable ElastiCache reserved cache nodes expiration days alert,https://aws.amazon.com/elasticache/reserved-cache-nodes/,'ElastiCache:describeReservedCacheNodes'
ElastiCache Cluster In VPC,ElastiCache,Databases,Ensure that your ElastiCache clusters are provisioned within the AWS VPC platform.,Creating Amazon ElastiCache clusters inside Amazon VPC can bring multiple advantages such as better networking infrastructure and flexible control over access security .,Create ElastiCache clusters within VPC network,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/VPCs.EC.html,'ElastiCache:describeCacheClusters'
ElastiCache Engine Versions for Redis,ElastiCache,Databases,Ensure that Amazon ElastiCache clusters are using the stable latest version of Redis cache engine.,"ElastiCache clusters with the latest version of Redis cache engine, You will benefit from new features and enhancements, '",Upgrade the version of Redis on all ElastiCache clusters to the latest available version.,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/supported-engine-versions.html,'ElastiCache:describeCacheClusters'
ElastiCache Redis Cluster Have Multi-AZ,ElastiCache,Databases,Ensure that your ElastiCache Redis Cache clusters are using a Multi-AZ deployment configuration to enhance High Availability.,"Enabling the Multi-AZ feature for your Redis Cache clusters will improve the fault tolerance in case the read/write primary node becomes unreachable due to loss of network connectivity, loss of availability in the primary’s AZ, etc. ",Enable Redis Multi-AZ for ElastiCache clusters,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/AutoFailover.html#AutoFailover.Enable,"'ElastiCache:describeCacheClusters', 'ElastiCache:describeReplicationGroups'"
ElastiCache Instance Generation,ElastiCache,Databases,Ensure that all ElastiCache clusters provisioned within your AWS account are using the latest generation of instances,"Using the latest generation of Amazon ElastiCache instances instances will benefit clusters for higher hardware performance, '",Upgrade ElastiCache instance generaion to the latest available generation.,https://aws.amazon.com/elasticache/previous-generation/,'ElastiCache:describeCacheClusters'
ElastiCache Reserved Cache Node Payment Pending,ElastiCache,Databases,Ensure that payments for ElastiCache Reserved Cache Nodes available within your AWS account has been processed completely. ,"When using ElastiCache Reserved Cache Nodes over standard On-Demand Cache Nodes savings are up to max that they give when used in steady state, therefore in order to receive this benefit you need to make sure that all your ElastiCache reservation purchases have been fully successful.",Identify any pending payments for ElastiCache reserved cache nodes,https://aws.amazon.com/elasticache/reserved-cache-nodes/,'ElastiCache:describeReservedCacheNodes'
ElastiCache Redis Cluster Encryption In-Transit,ElastiCache,Databases,Ensure that your AWS ElastiCache Redis clusters have encryption in-transit enabled.,Amazon ElastiCache in-transit encryption is an optional feature that allows you to increase the security of your data at its most vulnerable points—when it is in transit from one location to another.,Enable in-transit encryption for ElastiCache clusters,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/in-transit-encryption.html,'ElastiCache:describeCacheClusters'
ElastiCache Default Ports,ElastiCache,NA,Ensure AWS ElastiCache clusters are not using the default ports set for Redis and Memcached cache engines.,ElastiCache clusters should be configured not to use the default assigned port value for Redis (6379) and Memcached (11211).,Configure ElastiCache clusters to use the non-default ports.,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/accessing-elasticache.html,'ElastiCache:describeCacheClusters'
ElastiCache Nodes Count,ElastiCache,Databases,Ensure that the number of ElastiCache cluster cache nodes has not reached the limit quota established by your organization.,Defining limits for the maximum number of ElastiCache cluster nodes that can be created within your AWS account will help you to better manage your ElastiCache compute resources and prevent unexpected charges on your AWS bill.,Enable limit for ElastiCache cluster nodes count,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/CacheNodes.html,'ElastiCache:describeCacheClusters'
ElastiCache Reserved Cache Node Payment Failed,ElastiCache,Databases,Ensure that payments for ElastiCache Reserved Cache Nodes available within your AWS account has been processed completely. ,"When using ElastiCache Reserved Cache Nodes over standard On-Demand Cache Nodes savings are up to max that they give when used in steady state, therefore in order to receive this benefit you need to make sure that all your ElastiCache reservation purchases have been fully successful.",Identify any failed payments for ElastiCache reserved cache nodes,https://aws.amazon.com/elasticache/reserved-cache-nodes/,'ElastiCache:describeReservedCacheNodes'
ElastiCache Redis Cluster Encryption At-Rest,ElastiCache,Databases,Ensure that your Amazon ElastiCache Redis clusters are encrypted to increase data security.,Amazon ElastiCache provides an optional feature to encrypt your data saved to persistent media. ',Enable encryption for ElastiCache cluster data-at-rest,https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/at-rest-encryption.html,"'ElastiCache:describeCacheClusters', 'ElastiCache:describeReplicationGroups', 'KMS:listKeys', 'KMS:describeKey'"
ElastiCache idle Cluster Status,ElastiCache,Databases,Identify ElastiCache clusters having CPU utilization below defined threshold within last 24 hours (idle clusters).,Idle Amazon ElastiCache cache cluster nodes represent a good candidate to reduce your monthly AWS costs and avoid accumulating unnecessary usage charges.,Identify and remove idle ElastiCache clusters,https://aws.amazon.com/elasticache/features/,"'ElastiCache:describeCacheClusters', 'CloudWatch:getEcMetricStatistics'"
Unused ElastiCache Reserved Cache Nodes,ElastiCache,Databases,Ensure that all your AWS ElastiCache reserved nodes have corresponding cache nodes running within the same account of an AWS Organization.,Creating cache nodes for your unused reserved cache clusters will prevent your investment having a negative return. When an Amazon ElastiCache RCN is not in use the investment made is not properly exploited.,Enable prevention of unused reserved nodes for ElastiCache clusters,https://aws.amazon.com/elasticache/reserved-cache-nodes/,"'ElastiCache:describeCacheClusters', 'ElastiCache:describeReservedCacheNodes'"
